date,state,temp,hot_temp,maxtemp,mintemp,humidity,gust_speed_m_s,wind_speed_m_s,min_rainfall_mm,max_rainfall_mm
01-01-2024,Andhra Pradesh,24.62,29.67,27.96,19.65,68.6,4.16,3.08,0,0
01-01-2024,Arunachal Pradesh,21.03,26.57,25.45,17.73,77.2,4.19,2.66,0,0
01-01-2024,Assam,15.08,18.89,17.9,12.6,74.6,1.64,0.96,0,0
01-01-2024,Bihar,19.76,22.42,21.55,16.58,58.1,5.67,4.18,0,0
01-01-2024,Chhattisgarh,20.01,25.07,23.16,16.91,59.9,2.12,1.6,0,0
01-01-2024,Goa,24.75,27.17,26.79,20.44,67,8.37,3.85,0,0
01-01-2024,Gujarat,20.88,25.2,24.58,17.05,31.1,4.51,2.2,0,0
01-01-2024,Haryana,9.08,11.03,10.46,4.59,50.9,6,4.6,0,0
01-01-2024,Himachal Pradesh,10.31,15.54,14.93,7.57,57,8.4,5.26,0,0
01-01-2024,Jharkhand,17.65,21.32,19.71,12.43,64.6,7.47,5.31,0,0
01-01-2024,Karnataka,24.38,31.46,29.72,20.43,54.3,6.59,4.98,0,0
01-01-2024,Kerala,23.89,27.42,27.03,19.75,68.7,6.92,4.14,0,0
01-01-2024,Madhya Pradesh,18.09,21.99,20.99,12.72,36.8,9.3,4.42,0,0
01-01-2024,Maharashtra,19.83,23.01,22.94,16.42,61.8,5.19,3.97,0,0
01-01-2024,Manipur,15.64,18.95,18.63,12.15,79,7.47,4.23,0,0
01-01-2024,Meghalaya,18.65,22.84,22.06,17.53,80.4,10.68,7.93,0,0
01-01-2024,Mizoram,17.84,21.8,21.7,13.89,86.9,7.35,4.85,0,0
01-01-2024,Nagaland,20.71,24.64,22.53,15.83,74.1,3.32,2.48,0,0
01-01-2024,Odisha,16.85,21.51,20.43,14.44,59.5,13.48,6.29,0.05,1.79
01-01-2024,Punjab,7.81,13.1,11.98,2.25,63.2,12.25,8.07,0,0
01-01-2024,Rajasthan,16.96,22.16,21.88,11.01,43.7,7.83,5.69,0,0
01-01-2024,Sikkim,8.86,13.45,13.38,4.6,61.3,8.84,5.89,0,0
01-01-2024,Tamil Nadu,22.38,26.08,24.52,17.22,72.5,9.41,5.19,0,0
01-01-2024,Telangana,21.26,24.49,23.84,15.94,77.3,7.83,4.47,0,0
01-01-2024,Tripura,15.65,20.5,19.11,13.1,80.3,4.75,3.25,0,0
01-01-2024,Uttar Pradesh,20.87,26.52,25.26,17.55,66.3,4.57,2.88,0,0
01-01-2024,Uttarakhand,9.74,15.2,13.35,4.79,56.4,4.48,2.04,0,0
01-01-2024,West Bengal,21.54,26.54,25.1,16.23,59.2,9.37,5.99,0,0
01-01-2024,Andaman and Nicobar Islands,23.82,28.95,27.63,19.79,83.6,6.62,3.51,0,0
01-01-2024,Chandigarh,8.88,12.69,12.59,6.6,56,2.61,1.96,0,0
01-01-2024,Dadra and Nagar Haveli and Daman and Diu,20.96,25.74,24.89,17.59,62.6,5.13,2.9,0,0
01-01-2024,Delhi,9.45,13.33,11.42,1.86,63.2,10.87,4.99,0,0
01-01-2024,Jammu and Kashmir,10.34,13.29,13.09,7.01,50.4,9.45,6.49,0,0
01-01-2024,Ladakh,9.03,12.15,10.59,3.61,57.3,11.98,6.47,0,0
01-01-2024,Lakshadweep,22.41,26.3,24.38,18.77,69.9,3.14,1.82,0,0
01-01-2024,Puducherry,20.14,23.67,22.08,13.82,69.2,4.96,2.66,0,0
02-01-2024,Andhra Pradesh,24.37,29.8,28.96,20.68,73.9,6.78,3.73,0,0
02-01-2024,Arunachal Pradesh,16.98,23.85,23.01,11.95,82.6,6.99,3.3,5.18,10.58
02-01-2024,Assam,18.46,22.26,21.25,13.18,75.8,10.04,5.12,0,0
02-01-2024,Bihar,20.08,23.83,22.58,16.92,68.7,5.66,3.46,0,0
02-01-2024,Chhattisgarh,21.17,26,25.33,17.48,66.6,6.94,4.99,0,0
02-01-2024,Goa,24.67,30.94,29.73,20.63,73.1,8.8,4.08,0,0
02-01-2024,Gujarat,19.17,21.88,21.69,12.03,32.7,11.24,5.58,0,0
02-01-2024,Haryana,9.71,14.04,13.2,7.06,50.9,8.49,5.26,0,0
02-01-2024,Himachal Pradesh,8.02,12.32,12.02,4.87,56.5,5.38,3.94,0,0
02-01-2024,Jharkhand,18.61,21.61,21.55,14.26,56.6,4.41,2.21,0,0
02-01-2024,Karnataka,23.26,28.58,27.79,19.5,64,4.68,3.47,0,0
02-01-2024,Kerala,23.12,28.12,27.01,20.36,79.2,5.15,3.3,0,0
02-01-2024,Madhya Pradesh,20.13,24.75,23.9,16.11,35.4,6.61,3.54,0,0
02-01-2024,Maharashtra,21.86,29.27,27.94,19.01,61.1,11.53,7.44,0,0
02-01-2024,Manipur,16.63,17.92,17.58,13.42,80.9,6.5,4.12,0,0
02-01-2024,Meghalaya,21.46,23.89,23.88,16.72,91,12.31,5.62,2.37,25.46
02-01-2024,Mizoram,18.58,22.67,22.41,18.26,79.3,7.07,3.4,0,0
02-01-2024,Nagaland,20.81,24.85,24.69,17.28,71.8,8.5,4.46,0,0
02-01-2024,Odisha,18.03,23.2,21.17,13.67,65.7,13.01,6.29,0,0
02-01-2024,Punjab,10.13,14.47,13.83,7.66,63.9,7.58,5.08,0,0
02-01-2024,Rajasthan,16.29,22.24,21.52,10.96,41.2,1,0.5,0,0
02-01-2024,Sikkim,10.05,15.23,13.95,6.07,53.3,1.1,0.5,0,0
02-01-2024,Tamil Nadu,25.66,28.19,27.43,21.85,63.4,7.05,4.38,0,0
02-01-2024,Telangana,27.34,30.97,30.46,24.01,65.1,3.44,2.49,0,0
02-01-2024,Tripura,15.5,19.34,18.77,11.42,79.4,7.22,3.58,0,0
02-01-2024,Uttar Pradesh,22.5,26.4,25.25,19.6,56.7,2.24,1.29,0,0
02-01-2024,Uttarakhand,7.16,8.23,8.03,1.88,55.2,9.33,5.24,0,0
02-01-2024,West Bengal,22.27,23.08,22.82,19.48,63.9,5.43,3.41,0,0
02-01-2024,Andaman and Nicobar Islands,21.81,26.24,24.89,17.48,81.3,8.18,4.68,15.23,70.08
02-01-2024,Chandigarh,10.11,13.92,12.56,8.19,66.5,1.37,0.98,0,0
02-01-2024,Dadra and Nagar Haveli and Daman and Diu,25.1,28.26,27.82,21.83,62.8,5.99,3.59,0,0
02-01-2024,Delhi,6.79,10.46,10,4.15,59.5,9.4,4.4,0,0
02-01-2024,Jammu and Kashmir,6.53,8.42,8.02,1.71,58.4,3.74,2.13,0,0
02-01-2024,Ladakh,5.04,10.03,8.85,2.39,45,6.02,3.38,0.06,0.81
02-01-2024,Lakshadweep,21.46,25.7,24.24,16.32,74.6,3.67,2.2,0,0
02-01-2024,Puducherry,28.02,32.82,31.73,23.89,79.5,6.62,3.28,0,0
03-01-2024,Andhra Pradesh,23.76,28.01,26.88,20.24,76.2,1.04,0.5,0,0
03-01-2024,Arunachal Pradesh,18.63,22.23,21.83,12.68,66.6,9.45,5.39,1.72,13.58
